LONGITUDE,LATITUDE,LONDEC,LATDEC,REGIONAL,FOLIOREG,TITULAR,ESTADO,MUPIO,USO_SUB,CVE_ACUHOM,ACU_SUBHOM,VOL_CONS,NUM,KML_STYLE
"107° 30' 20.0000"" W","28° 05' 15.0000"" N",-107.5055556,28.0875,2,02CHI114381/09HPGE98,COMITE DE AGUA POTABLE DE COJAHUACHI,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,28750,1,point1
"107° 28' 28.0000"" W","28° 21' 10.0000"" N",-107.4744444,28.35277778,2,02CHI114382/09HMGE98,COMITE DE AGUA POTABLE DE TACUBA,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,68875,1,point1
"107° 23' 32.0000"" W","28° 26' 15.0000"" N",-107.3922222,28.4375,2,02CHI114383/09HPGE98,COMITE DE AGUA POTABLE DE SANTA BARBARA,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,2250,1,point1
"107° 50' 48.0000"" W","28° 21' 13.0000"" N",-107.8466667,28.35361111,2,02CHI114384/09HPGE98,COMITE DE AGUA POTABLE TOMOCHI,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,375000,1,point1
"107° 16' 38.0000"" W","28° 26' 11.0000"" N",-107.2772222,28.43638889,2,02CHI114385/09HPGE98,COMITE DE AGUA POTABLE RANCHO LA TENA,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,17500,1,point1
"108° 31' 21.0000"" W","28° 08' 55.0000"" N",-108.5225,28.14861111,2,02CHI114982/09HNGE98,PRESIDENCIA MUNICIPAL DE MORIS ( LOC. MORIS ),8,47,PUBLICO URBANO,860,GUERRERO-YEPOMERA,504576,1,point1
"107° 40' 00.0000"" W","28° 25' 03.0000"" N",-107.6666667,28.4175,2,02CHI120184/09APGE98,CAMILO ORDOÑEZ PEREZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,10000,1,point1
"107° 30' 00.0000"" W","28° 38' 39.0000"" N",-107.5,28.64416667,2,02CHI120841/09AMGE98,SAUL GONZALEZ HERRERA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,120000,1,point1
"107° 22' 18.0000"" W","28° 23' 35.0000"" N",-107.3716667,28.39305556,2,02CHI120852/09AMGE98,LYDIA ADELA PARRA DOMINGUEZ Y ADOLFO PARRA DOMINGUEZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,60000,1,point1
"107° 23' 45.0000"" W","28° 20' 23.0000"" N",-107.3958333,28.33972222,2,02CHI121121/34AMGE98,HUMBERTO ORDOÑEZ CASTILLO,8,31,AGRICOLA,805,CUAUHTEMOC,480000,1,point1
"107° 51' 43.0000"" W","28° 31' 29.0000"" N",-107.8619444,28.52472222,2,02CHI121123/09HMGE98,JUNTA RURAL DE AGUA POTABLE Y ALCANTARILLADO; LOC.: ADOLFO LOPEZ MATEOS,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,1103760,1,point1
"107° 43' 35.0000"" W","28° 18' 46.0000"" N",-107.7263889,28.31277778,2,02CHI121124/09HMGE98,JUNTA RURAL DE AGUA POTABLE Y ALCANTARILLADO; LOC.: ADOLFO LOPEZ MATEOS,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,315360,1,point1
"107° 43' 02.0000"" W","28° 27' 42.0000"" N",-107.7172222,28.46166667,2,02CHI121125/09HMGE98,JUNTA RURAL DE AGUA POTABLE Y ALCANTARILLADO; LOC.: ADOLFO LOPEZ MATEOS,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,283824,1,point1
"107° 32' 08.0000"" W","28° 28' 25.0000"" N",-107.5355556,28.47361111,2,02CHI121198/09AMGE98,BENJAMIN JUAREZ PEREZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,120000,1,point1
"107° 30' 49.0000"" W","28° 39' 32.0000"" N",-107.5136111,28.65888889,2,02CHI121203/09AMGE98,ANTONIO COMADURAN CORDOBA Y CELIA AMAYA BONILLA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,300000,1,point1
"107° 35' 58.0000"" W","28° 39' 54.0000"" N",-107.5994444,28.665,2,02CHI121545/09HMGE00,COMITE DE AGUA POTABLE SAN MIGUEL DE ORTIZ,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,6936,1,point1
"107° 08' 57.0000"" W","29° 22' 27.0000"" N",-107.1491667,29.37416667,2,02CHI121553/34AMGE98,COL. ALAMILLO 5 DE MAYO,8,40,AGRICOLA,802,ALTA BABICORA,320000,1,point1
"107° 54' 15.0000"" W","29° 20' 28.0000"" N",-107.9041667,29.34111111,2,02CHI121674/34AMGE98,MIGUEL ANGEL REYES ORTIZ,8,40,AGRICOLA,802,ALTA BABICORA,80000,1,point1
"108° 11' 46.0000"" W","29° 41' 37.0000"" N",-108.1961111,29.69361111,2,02CHI127524/34HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: LAS POMAS DE ABAJO,8,40,PUBLICO URBANO,802,ALTA BABICORA,9112,1,point1
"108° 01' 31.0000"" W","29° 28' 48.0000"" N",-108.0252778,29.48,2,02CHI127525/34HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: LAS VARAS (ESTACION BABICORA),8,40,PUBLICO URBANO,802,ALTA BABICORA,261256,1,point1
"108° 04' 35.0000"" W","29° 06' 44.0000"" N",-108.0763889,29.11222222,2,02CHI127526/09HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: TRES OJITOS,8,40,PUBLICO URBANO,802,ALTA BABICORA,48008,1,point1
"108° 03' 40.0000"" W","29° 27' 10.0000"" N",-108.0611111,29.45277778,2,02CHI127527/34HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: PRESON DEL TORO,8,40,PUBLICO URBANO,802,ALTA BABICORA,32232,1,point1
"108° 27' 05.0000"" W","29° 38' 38.0000"" N",-108.4513889,29.64388889,2,02CHI127528/34HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: LA NORTEÑA,8,40,PUBLICO URBANO,802,ALTA BABICORA,155856,1,point1
"108° 23' 28.0000"" W","29° 38' 53.0000"" N",-108.3911111,29.64805556,2,02CHI127529/34HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: EL NORTE,8,40,PUBLICO URBANO,802,ALTA BABICORA,44744,1,point1
"108° 07' 04.0000"" W","29° 08' 13.0000"" N",-108.1177778,29.13694444,2,02CHI127530/09HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: NAHUERACHI,8,40,PUBLICO URBANO,802,ALTA BABICORA,33864,1,point1
"108° 35' 04.0000"" W","29° 12' 39.0000"" N",-108.5844444,29.21083333,2,02CHI127531/09HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: EL CABLE,8,40,PUBLICO URBANO,802,ALTA BABICORA,19584,1,point1
"108° 38' 27.0000"" W","29° 09' 03.0000"" N",-108.6408333,29.15083333,2,02CHI127532/09HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: EL REFUGIO,8,40,PUBLICO URBANO,802,ALTA BABICORA,12784,1,point1
"107° 53' 19.0000"" W","29° 12' 54.0000"" N",-107.8886111,29.215,2,02CHI127533/34HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: GUADALUPE VICTORIA (LAS PLAYAS),8,40,PUBLICO URBANO,802,ALTA BABICORA,21352,1,point1
"108° 40' 10.0000"" W","29° 14' 18.0000"" N",-108.6694444,29.23833333,2,02CHI127534/09HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: MESA DE LA SIMONA,8,40,PUBLICO URBANO,802,ALTA BABICORA,38080,1,point1
"108° 28' 35.0000"" W","29° 10' 38.0000"" N",-108.4763889,29.17722222,2,02CHI127535/09HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: MESA BLANCA,8,40,PUBLICO URBANO,802,ALTA BABICORA,20672,1,point1
"108° 01' 20.0000"" W","28° 01' 08.0000"" N",-108.0222222,28.01888889,2,02CHI127536/09HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: LA LIBERTAD (LAS PALMILLAS),8,40,PUBLICO URBANO,802,ALTA BABICORA,16592,1,point1
"108° 31' 15.0000"" W","29° 41' 44.0000"" N",-108.5208333,29.69555556,2,02CHI127537/34HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: SANTA RITA,8,40,PUBLICO URBANO,802,ALTA BABICORA,22304,1,point1
"107° 54' 40.0000"" W","29° 25' 34.0000"" N",-107.9111111,29.42611111,2,02CHI127538/34HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: ALAMILLO,8,40,PUBLICO URBANO,802,ALTA BABICORA,83912,1,point1
"108° 02' 35.0000"" W","29° 07' 55.0000"" N",-108.0430556,29.13194444,2,02CHI127539/34HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: BOQUILLA DE GOLONDRINAS,8,40,PUBLICO URBANO,802,ALTA BABICORA,11560,1,point1
"108° 22' 52.0000"" W","29° 36' 49.0000"" N",-108.3811111,29.61361111,2,02CHI127540/34HNGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: CHUHUICHUPA,8,40,PUBLICO URBANO,802,ALTA BABICORA,45832,1,point1
"108° 05' 49.0000"" W","29° 23' 11.0000"" N",-108.0969444,29.38638889,2,02CHI127541/34HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: AÑO DE HIDALGO,8,40,PUBLICO URBANO,802,ALTA BABICORA,56712,1,point1
"108° 01' 43.0000"" W","29° 10' 19.0000"" N",-108.0286111,29.17194444,2,02CHI127542/34HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: PRESON DE GOLONDRINAS,8,40,PUBLICO URBANO,802,ALTA BABICORA,43656,1,point1
"108° 19' 38.0000"" W","29° 35' 18.0000"" N",-108.3272222,29.58833333,2,02CHI127543/09HMGE99,PRESIDENCIA MUNICIPAL DE MADERA; LOC.: EJIDO JESUS GARCIA,8,40,PUBLICO URBANO,802,ALTA BABICORA,43656,1,point1
"107° 21' 29.0000"" W","28° 30' 17.0000"" N",-107.3580556,28.50472222,2,02CHI127721/09AQGE99,ROQUE OROZCO ANDAZOLA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,15000,1,point1
"107° 23' 05.0000"" W","28° 28' 00.1000"" N",-107.3847222,28.46669444,2,02CHI128304/09AMGE99,RAYMUNDO MENDOZA CHAVEZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,90000,1,point1
"107° 46' 54.1000"" W","28° 59' 29.0000"" N",-107.7816944,28.99138889,2,02CHI128317/09AMGE99,ARTURO PONCE BELTRAN,8,63,AGRICOLA,860,GUERRERO-YEPOMERA,480000,1,point1
"107° 24' 40.0000"" W","28° 26' 25.0000"" N",-107.4111111,28.44027778,2,02CHI128616/09AMGE99,GRUPO DE TRABAJO LOS CERRITOS,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,360000,1,point1
"107° 13' 11.0000"" W","28° 08' 16.0000"" N",-107.2197222,28.13777778,2,02CHI128868/09HMGE99,COMITE DE AGUA POTABLE DEL EJIDO JUAREZ,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,18750,1,point1
"107° 18' 52.0000"" W","28° 28' 00.0000"" N",-107.3144444,28.46666667,2,02CHI128880/09AMGE99,JUGOS LANGER DE MEXICO; S.A. DE C.V.,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,300000,1,point1
"107° 13' 58.0000"" W","28° 29' 29.0000"" N",-107.2327778,28.49138889,2,02CHI128969/09AMGE99,JOSE ELIZONDO ELIZONDO; JOSE ELIZONDO SAUCEDO; JUAN ELIZONDO SAUCEDO,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,333900,1,point1
"107° 37' 55.0000"" W","28° 46' 26.0000"" N",-107.6319444,28.77388889,2,02CHI129791/09HNGE99,COMITE DE AGUA POTABLE DE SAN JOSE DE NAVA,8,43,PUBLICO URBANO,860,GUERRERO-YEPOMERA,14750,1,point1
"107° 38' 21.0000"" W","28° 48' 07.0000"" N",-107.6391667,28.80194444,2,02CHI129792/09HNGE99,COMITE DE AGUA POTABLE DE SAN RAFAEL DE LAS MANZANAS,8,43,PUBLICO URBANO,860,GUERRERO-YEPOMERA,9792,1,point1
"107° 44' 16.0000"" W","28° 48' 13.0000"" N",-107.7377778,28.80361111,2,02CHI129793/09HNGE99,COMITE DE AGUA POTABLE DE LABOR DE LA PURISIMA,8,43,PUBLICO URBANO,860,GUERRERO-YEPOMERA,5625,1,point1
"107° 41' 53.0000"" W","28° 45' 37.0000"" N",-107.6980556,28.76027778,2,02CHI129794/09HNGE99,COMITE DE AGUA POTABLE DE TEJOLOCACHI,8,43,PUBLICO URBANO,860,GUERRERO-YEPOMERA,114250,1,point1
"107° 47' 21.0000"" W","28° 53' 18.0000"" N",-107.7891667,28.88833333,2,02CHI129795/09HNGE99,COMITE DE AGUA DE POTABLE DE RANCHO ANTILLON,8,43,PUBLICO URBANO,860,GUERRERO-YEPOMERA,11000,1,point1
"107° 42' 39.0000"" W","28° 45' 20.0000"" N",-107.7108333,28.75555556,2,02CHI129796/09HNGE99,COMITE DE AGUA POTABLE DE RANCHO BLANCO,8,43,PUBLICO URBANO,860,GUERRERO-YEPOMERA,28125,1,point1
"107° 09' 58.0000"" W","28° 20' 00.0000"" N",-107.1661111,28.33333333,2,02CHI129811/09AMGE99,LUIS HERRERA GONZALEZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,60000,1,point1
"108° 01' 35.0000"" W","29° 23' 46.0000"" N",-108.0263889,29.39611111,2,02CHI129926/34AMGE99,COLONIA LOS PINOS; POZO # 2,8,40,AGRICOLA,802,ALTA BABICORA,600000,1,point1
"107° 26' 54.0000"" W","28° 32' 15.0000"" N",-107.4483333,28.5375,2,02CHI130029/09HMGE99,COMITE DE AGUA POTABLE COLONIA SAN RAFAEL,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,137500,1,point1
"107° 20' 32.0000"" W","28° 33' 30.0000"" N",-107.3422222,28.55833333,2,02CHI130030/09HMGE99,COMITE DE AGUA POTABLE DE EL JAGÛEY,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,67592,1,point1
"107° 21' 00.0000"" W","28° 29' 52.0000"" N",-107.35,28.49777778,2,02CHI130032/09HMGE99,COMITE AGUA POTABLE  SAN ANTONIO DE SAENZ,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,87500,1,point1
"107° 29' 28.0000"" W","28° 38' 02.0000"" N",-107.4911111,28.63388889,2,02CHI130033/09HMGE99,COMITE DE AGUA POTABLE  DE JESUS LUGO,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,28000,1,point1
"107° 28' 59.0000"" W","28° 32' 51.0000"" N",-107.4830556,28.5475,2,02CHI130034/09HMGE99,PRESIDENCIA MUNICIPAL DE GUERRERO,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,12500,1,point1
"107° 33' 00.0000"" W","28° 40' 45.0000"" N",-107.55,28.67916667,2,02CHI130035/09HMGE99,COMITE DE AGUA POTABLE  BARRIO SAN JOSE,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,54400,1,point1
"107° 25' 06.0000"" W","28° 31' 53.0000"" N",-107.4183333,28.53138889,2,02CHI130074/09HMGE99,COMITE AGUA POTABLE DE BORJAS,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,55750,1,point1
"107° 25' 13.0000"" W","28° 29' 43.0000"" N",-107.4202778,28.49527778,2,02CHI132890/09AMGE99,FEDERICO CARAVEO CASAVANTES,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,120000,1,point1
"107° 11' 50.0000"" W","28° 26' 30.0000"" N",-107.1972222,28.44166667,2,02CHI132902/09AMGE99,MARTIN RASCON LEDEZMA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,30000,1,point1
"107° 29' 15.0000"" W","28° 32' 21.0000"" N",-107.4875,28.53916667,2,02CHI132999/09CMGE00,FEDERICO ALONSO CASAVANTES VALENCIA,8,31,DOMESTICO,860,GUERRERO-YEPOMERA,2000,1,point1
"107° 40' 20.0000"" W","28° 50' 15.0000"" N",-107.6722222,28.8375,2,02CHI133020/09HMGE99,COMITE DE AGUA POTABLE; COMUNIDAD EJIDO BUENAVISTA,8,43,PUBLICO URBANO,860,GUERRERO-YEPOMERA,56250,1,point1
"107° 29' 20.0000"" W","28° 37' 41.0000"" N",-107.4888889,28.62805556,2,02CHI133100/09AMGE00,ANDRES RAMIREZ MARIÑELARENA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,48000,1,point1
"107° 24' 40.0000"" W","28° 36' 25.0000"" N",-107.4111111,28.60694444,2,02CHI133471/09AMGE99,EJIDO PASCUAL OROZCO; GRUPO LOS CERRITOS,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,360000,1,point1
"107° 13' 50.0000"" W","28° 27' 08.0000"" N",-107.2305556,28.45222222,2,02CHI133509/09AMGE99,MARIA ALTAGRACIA YAPOR AGUAYO,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,180000,1,point1
"107° 03' 17.0000"" W","28° 24' 09.0000"" N",-107.0547222,28.4025,2,02CHI133520/09IPGE99,BALTAZAR CHAVEZ PEREZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,40000,1,point1
"107° 54' 49.1000"" W","29° 21' 12.1000"" N",-107.9136389,29.35336111,2,02CHI133687/34AMGE99,GRUPO DEL POZO # 6; COLONIA NICOLAS BRAVO,8,40,AGRICOLA,802,ALTA BABICORA,400000,1,point1
"107° 54' 00.0000"" W","29° 24' 40.0000"" N",-107.9,29.41111111,2,02CHI133691/34GMGE99,COLONIA ALAMILLO,8,40,PECUARIO,802,ALTA BABICORA,1500,1,point1
"107° 55' 31.0000"" W","29° 21' 08.0000"" N",-107.9252778,29.35222222,2,02CHI134148/09AMGE00,ESCUELA SECUNDARIA TECNICA NUMERO 13,8,40,AGRICOLA,802,ALTA BABICORA,480000,1,point1
"107° 26' 30.0000"" W","28° 32' 00.0000"" N",-107.4416667,28.53333333,2,02CHI134335/09AMGE05,UNIDAD DE RIEGO LAGUNA HONDA NUM. 2,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,384000,1,point1
"107° 24' 31.0000"" W","28° 35' 49.0000"" N",-107.4086111,28.59694444,2,02CHI134350/09AMGE99,RAMIRO DOMINGUEZ RAMOS Y REFUGIO LEDEZMA VALDEZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,46000,1,point1
"107° 28' 17.0000"" W","28° 42' 05.0000"" N",-107.4713889,28.70138889,2,02CHI134423/09AMGE00,DELIA GONZALEZ JAIMES,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,180000,1,point1
"108° 05' 03.0000"" W","29° 10' 03.0000"" N",-108.0841667,29.1675,2,02CHI134478/09AMGE00,ARNOLDO RASCON ESTRADA,8,40,AGRICOLA,860,GUERRERO-YEPOMERA,300000,1,point1
"107° 13' 57.0000"" W","28° 26' 21.0000"" N",-107.2325,28.43916667,2,02CHI134617/09AMGE00,JOSE MANUEL MATA ARANDA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,180000,1,point1
"107° 47' 08.0000"" W","28° 53' 00.0000"" N",-107.7855556,28.88333333,2,02CHI134788/09AMGE00,FERNANDO PEREZ MORALES,8,43,AGRICOLA,860,GUERRERO-YEPOMERA,90000,1,point1
"107° 27' 01.0000"" W","28° 28' 19.0000"" N",-107.4502778,28.47194444,2,02CHI134830/09AMGE06,JOAQUIN MADRID JAQUEZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,108000,1,point1
"107° 15' 22.0000"" W","28° 23' 55.0000"" N",-107.2561111,28.39861111,2,02CHI134940/09IMDL07,SERGIO OLIVAS AGUILAR,8,31,ABREVADERO,860,GUERRERO-YEPOMERA,4900,1,point1
"107° 50' 00.0000"" W","28° 57' 00.0000"" N",-107.8333333,28.95,2,02CHI135051/09APGE00,PABLO RASCON GARCIA,8,63,AGRICOLA,860,GUERRERO-YEPOMERA,9000,1,point1
"107° 32' 00.0000"" W","28° 32' 40.0000"" N",-107.5333333,28.54444444,2,02CHI135226/09AMGE00,MIGUEL ANGEL GALLEGOS BARRERA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,300000,1,point1
"107° 31' 59.0000"" W","28° 40' 00.0000"" N",-107.5330556,28.66666667,2,02CHI135227/09AMGE00,MIGUEL ANGEL GALLEGOS BARRERA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,300000,1,point1
"107° 14' 00.0000"" W","28° 24' 45.0000"" N",-107.2333333,28.4125,2,02CHI135360/09AMGE00,JOSE LUIS GAN BARRERA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,240000,1,point1
"107° 26' 43.0000"" W","28° 34' 08.0000"" N",-107.4452778,28.56888889,2,02CHI135515/09AMGE00,AGROPRODUCTOS TARAHUMARA SOCIEDAD DE PRODUCCION RURAL DE RESPONSABILIDAD LIMITADA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,122220,1,point1
"107° 10' 46.0000"" W","28° 27' 30.0000"" N",-107.1794444,28.45833333,2,02CHI135566/09AMGE00,MARIA DE LA LUZ LERMA SAENZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,360000,1,point1
"107° 25' 07.0000"" W","28° 25' 25.0000"" N",-107.4186111,28.42361111,2,02CHI135573/09AMGE00,JOAQUIN OROZCO MARQUEZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,102768,1,point1
